start_date,area_sq_km,percent_of_ukraine
2024-09-16,73.13,16.065465729349736
2024-09-23,60.97,13.394112478031634
2024-09-30,72.11,15.841388400702987
2024-10-07,70.9,15.575571177504397
2024-10-14,72.02,15.821616871704745
2024-10-21,70.18,15.417398945518453
2024-10-28,71.10000000000001,15.619507908611602
2024-11-04,68.58,15.065905096660808
2024-11-11,59.34,13.03602811950791
2024-11-18,69.97,15.371265377855888
2024-11-25,63.06,13.853251318101933
2024-12-02,68.60000000000001,15.070298769771531
2024-12-09,67.0,14.718804920913882
2024-12-16,61.49,13.50834797891037
2024-12-23,58.19,12.783391915641475
2024-12-30,71.78,15.7688927943761
2025-01-06,60.09,13.20079086115993
2025-01-13,66.21000000000001,14.545254833040424
2025-01-20,68.88,15.131810193321616
2025-01-27,66.68,14.648506151142357
2025-02-03,68.83,15.120826010544816
2025-02-10,64.75,14.22451669595782
2025-02-17,68.84,15.123022847100176
